,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
16,Thailand,,,,,0,0,25,0,10,15,2020-02-07T00:00:00Z
17,Thailand,,,,,0,0,32,0,10,22,2020-02-08T00:00:00Z
18,Thailand,,,,,0,0,32,0,11,21,2020-02-09T00:00:00Z
19,Thailand,,,,,0,0,32,0,11,21,2020-02-10T00:00:00Z
20,Thailand,,,,,0,0,33,0,11,22,2020-02-11T00:00:00Z
21,Thailand,,,,,0,0,33,0,11,22,2020-02-12T00:00:00Z
22,Thailand,,,,,0,0,33,0,11,22,2020-02-13T00:00:00Z
23,Thailand,,,,,0,0,33,0,11,22,2020-02-14T00:00:00Z
24,Thailand,,,,,0,0,34,0,13,21,2020-02-15T00:00:00Z
25,Thailand,,,,,0,0,34,0,15,19,2020-02-16T00:00:00Z
26,Thailand,,,,,0,0,35,0,15,20,2020-02-17T00:00:00Z
27,Thailand,,,,,0,0,35,0,15,20,2020-02-18T00:00:00Z
28,Thailand,,,,,0,0,35,0,15,20,2020-02-19T00:00:00Z
29,Thailand,,,,,0,0,35,0,17,18,2020-02-20T00:00:00Z
30,Thailand,,,,,0,0,35,0,19,16,2020-02-21T00:00:00Z
31,Thailand,,,,,0,0,35,0,20,15,2020-02-22T00:00:00Z
32,Thailand,,,,,0,0,35,0,21,14,2020-02-23T00:00:00Z
33,Thailand,,,,,0,0,35,0,21,14,2020-02-24T00:00:00Z
34,Thailand,,,,,0,0,37,0,22,15,2020-02-25T00:00:00Z
35,Thailand,,,,,0,0,40,0,24,16,2020-02-26T00:00:00Z
36,Thailand,,,,,0,0,40,0,24,16,2020-02-27T00:00:00Z
37,Thailand,,,,,0,0,41,0,28,13,2020-02-28T00:00:00Z
38,Thailand,,,,,0,0,42,0,28,14,2020-02-29T00:00:00Z
39,Thailand,,,,,0,0,42,1,30,11,2020-03-01T00:00:00Z
40,Thailand,,,,,0,0,43,1,31,11,2020-03-02T00:00:00Z
41,Thailand,,,,,0,0,43,1,31,11,2020-03-03T00:00:00Z
42,Thailand,,,,,0,0,43,1,31,11,2020-03-04T00:00:00Z
43,Thailand,,,,,0,0,47,1,31,15,2020-03-05T00:00:00Z
44,Thailand,,,,,0,0,48,1,31,16,2020-03-06T00:00:00Z
45,Thailand,,,,,0,0,50,1,31,18,2020-03-07T00:00:00Z
46,Thailand,,,,,0,0,50,1,33,16,2020-03-08T00:00:00Z
47,Thailand,,,,,0,0,50,1,33,16,2020-03-09T00:00:00Z
48,Thailand,,,,,0,0,53,1,33,19,2020-03-10T00:00:00Z
49,Thailand,,,,,0,0,59,1,34,24,2020-03-11T00:00:00Z
50,Thailand,,,,,0,0,70,1,35,34,2020-03-12T00:00:00Z
51,Thailand,,,,,0,0,75,1,35,39,2020-03-13T00:00:00Z
52,Thailand,,,,,0,0,82,1,35,46,2020-03-14T00:00:00Z
53,Thailand,,,,,0,0,114,1,37,76,2020-03-15T00:00:00Z
54,Thailand,,,,,0,0,147,1,38,108,2020-03-16T00:00:00Z
55,Thailand,,,,,0,0,177,1,41,135,2020-03-17T00:00:00Z
56,Thailand,,,,,0,0,212,1,42,169,2020-03-18T00:00:00Z
57,Thailand,,,,,0,0,272,1,42,229,2020-03-19T00:00:00Z
58,Thailand,,,,,0,0,322,1,43,278,2020-03-20T00:00:00Z
59,Thailand,,,,,0,0,411,1,44,366,2020-03-21T00:00:00Z
60,Thailand,,,,,0,0,599,1,45,553,2020-03-22T00:00:00Z
61,Thailand,,,,,0,0,721,1,44,676,2020-03-23T00:00:00Z
62,Thailand,,,,,0,0,827,4,57,766,2020-03-24T00:00:00Z
63,Thailand,,,,,0,0,934,4,70,860,2020-03-25T00:00:00Z
64,Thailand,,,,,0,0,1045,4,88,953,2020-03-26T00:00:00Z
65,Thailand,,,,,0,0,1136,5,97,1034,2020-03-27T00:00:00Z
66,Thailand,,,,,0,0,1245,6,100,1139,2020-03-28T00:00:00Z
67,Thailand,,,,,0,0,1388,7,111,1270,2020-03-29T00:00:00Z
68,Thailand,,,,,0,0,1524,9,127,1388,2020-03-30T00:00:00Z
69,Thailand,,,,,0,0,1651,10,342,1299,2020-03-31T00:00:00Z
70,Thailand,,,,,0,0,1771,12,416,1343,2020-04-01T00:00:00Z
71,Thailand,,,,,0,0,1875,15,505,1355,2020-04-02T00:00:00Z
72,Thailand,,,,,0,0,1978,19,581,1378,2020-04-03T00:00:00Z
73,Thailand,,,,,0,0,2067,20,612,1435,2020-04-04T00:00:00Z
74,Thailand,,,,,0,0,2169,23,674,1472,2020-04-05T00:00:00Z
75,Thailand,,,,,0,0,2220,26,793,1401,2020-04-06T00:00:00Z
76,Thailand,,,,,0,0,2258,27,824,1407,2020-04-07T00:00:00Z
77,Thailand,,,,,0,0,2369,30,888,1451,2020-04-08T00:00:00Z
78,Thailand,,,,,0,0,2423,32,940,1451,2020-04-09T00:00:00Z
79,Thailand,,,,,0,0,2473,33,1013,1427,2020-04-10T00:00:00Z
80,Thailand,,,,,0,0,2518,35,1135,1348,2020-04-11T00:00:00Z
81,Thailand,,,,,0,0,2551,38,1218,1295,2020-04-12T00:00:00Z
82,Thailand,,,,,0,0,2579,40,1288,1251,2020-04-13T00:00:00Z
83,Thailand,,,,,0,0,2613,41,1405,1167,2020-04-14T00:00:00Z
84,Thailand,,,,,0,0,2643,43,1497,1103,2020-04-15T00:00:00Z
