,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Malaysia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Malaysia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Malaysia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Malaysia,,,,,0,0,3,0,0,3,2020-01-25T00:00:00Z
4,Malaysia,,,,,0,0,4,0,0,4,2020-01-26T00:00:00Z
5,Malaysia,,,,,0,0,4,0,0,4,2020-01-27T00:00:00Z
6,Malaysia,,,,,0,0,4,0,0,4,2020-01-28T00:00:00Z
7,Malaysia,,,,,0,0,7,0,0,7,2020-01-29T00:00:00Z
8,Malaysia,,,,,0,0,8,0,0,8,2020-01-30T00:00:00Z
9,Malaysia,,,,,0,0,8,0,0,8,2020-01-31T00:00:00Z
10,Malaysia,,,,,0,0,8,0,0,8,2020-02-01T00:00:00Z
11,Malaysia,,,,,0,0,8,0,0,8,2020-02-02T00:00:00Z
12,Malaysia,,,,,0,0,8,0,0,8,2020-02-03T00:00:00Z
13,Malaysia,,,,,0,0,10,0,0,10,2020-02-04T00:00:00Z
14,Malaysia,,,,,0,0,12,0,0,12,2020-02-05T00:00:00Z
15,Malaysia,,,,,0,0,12,0,0,12,2020-02-06T00:00:00Z
16,Malaysia,,,,,0,0,12,0,1,11,2020-02-07T00:00:00Z
17,Malaysia,,,,,0,0,16,0,1,15,2020-02-08T00:00:00Z
18,Malaysia,,,,,0,0,16,0,1,15,2020-02-09T00:00:00Z
19,Malaysia,,,,,0,0,18,0,1,17,2020-02-10T00:00:00Z
20,Malaysia,,,,,0,0,18,0,3,15,2020-02-11T00:00:00Z
21,Malaysia,,,,,0,0,18,0,3,15,2020-02-12T00:00:00Z
22,Malaysia,,,,,0,0,19,0,3,16,2020-02-13T00:00:00Z
23,Malaysia,,,,,0,0,19,0,3,16,2020-02-14T00:00:00Z
24,Malaysia,,,,,0,0,22,0,7,15,2020-02-15T00:00:00Z
25,Malaysia,,,,,0,0,22,0,7,15,2020-02-16T00:00:00Z
26,Malaysia,,,,,0,0,22,0,7,15,2020-02-17T00:00:00Z
27,Malaysia,,,,,0,0,22,0,13,9,2020-02-18T00:00:00Z
28,Malaysia,,,,,0,0,22,0,15,7,2020-02-19T00:00:00Z
29,Malaysia,,,,,0,0,22,0,15,7,2020-02-20T00:00:00Z
30,Malaysia,,,,,0,0,22,0,15,7,2020-02-21T00:00:00Z
31,Malaysia,,,,,0,0,22,0,15,7,2020-02-22T00:00:00Z
32,Malaysia,,,,,0,0,22,0,15,7,2020-02-23T00:00:00Z
33,Malaysia,,,,,0,0,22,0,18,4,2020-02-24T00:00:00Z
34,Malaysia,,,,,0,0,22,0,18,4,2020-02-25T00:00:00Z
35,Malaysia,,,,,0,0,22,0,18,4,2020-02-26T00:00:00Z
36,Malaysia,,,,,0,0,23,0,18,5,2020-02-27T00:00:00Z
37,Malaysia,,,,,0,0,23,0,18,5,2020-02-28T00:00:00Z
38,Malaysia,,,,,0,0,25,0,18,7,2020-02-29T00:00:00Z
39,Malaysia,,,,,0,0,29,0,18,11,2020-03-01T00:00:00Z
40,Malaysia,,,,,0,0,29,0,18,11,2020-03-02T00:00:00Z
41,Malaysia,,,,,0,0,36,0,22,14,2020-03-03T00:00:00Z
42,Malaysia,,,,,0,0,50,0,22,28,2020-03-04T00:00:00Z
43,Malaysia,,,,,0,0,50,0,22,28,2020-03-05T00:00:00Z
44,Malaysia,,,,,0,0,83,0,22,61,2020-03-06T00:00:00Z
45,Malaysia,,,,,0,0,93,0,23,70,2020-03-07T00:00:00Z
46,Malaysia,,,,,0,0,99,0,24,75,2020-03-08T00:00:00Z
47,Malaysia,,,,,0,0,117,0,24,93,2020-03-09T00:00:00Z
48,Malaysia,,,,,0,0,129,0,24,105,2020-03-10T00:00:00Z
49,Malaysia,,,,,0,0,149,0,26,123,2020-03-11T00:00:00Z
50,Malaysia,,,,,0,0,149,0,26,123,2020-03-12T00:00:00Z
51,Malaysia,,,,,0,0,197,0,26,171,2020-03-13T00:00:00Z
52,Malaysia,,,,,0,0,238,0,35,203,2020-03-14T00:00:00Z
53,Malaysia,,,,,0,0,428,0,42,386,2020-03-15T00:00:00Z
54,Malaysia,,,,,0,0,566,0,42,524,2020-03-16T00:00:00Z
55,Malaysia,,,,,0,0,673,2,49,622,2020-03-17T00:00:00Z
56,Malaysia,,,,,0,0,790,2,60,728,2020-03-18T00:00:00Z
57,Malaysia,,,,,0,0,900,2,75,823,2020-03-19T00:00:00Z
58,Malaysia,,,,,0,0,1030,3,87,940,2020-03-20T00:00:00Z
59,Malaysia,,,,,0,0,1183,4,114,1065,2020-03-21T00:00:00Z
60,Malaysia,,,,,0,0,1306,10,139,1157,2020-03-22T00:00:00Z
61,Malaysia,,,,,0,0,1518,14,139,1365,2020-03-23T00:00:00Z
62,Malaysia,,,,,0,0,1624,16,183,1425,2020-03-24T00:00:00Z
63,Malaysia,,,,,0,0,1796,20,199,1577,2020-03-25T00:00:00Z
64,Malaysia,,,,,0,0,2031,23,215,1793,2020-03-26T00:00:00Z
65,Malaysia,,,,,0,0,2161,26,259,1876,2020-03-27T00:00:00Z
66,Malaysia,,,,,0,0,2320,27,320,1973,2020-03-28T00:00:00Z
67,Malaysia,,,,,0,0,2470,35,388,2047,2020-03-29T00:00:00Z
68,Malaysia,,,,,0,0,2626,37,479,2110,2020-03-30T00:00:00Z
69,Malaysia,,,,,0,0,2766,43,537,2186,2020-03-31T00:00:00Z
70,Malaysia,,,,,0,0,2908,45,645,2218,2020-04-01T00:00:00Z
71,Malaysia,,,,,0,0,3116,50,767,2299,2020-04-02T00:00:00Z
72,Malaysia,,,,,0,0,3333,53,827,2453,2020-04-03T00:00:00Z
