,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Luxembourg,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Luxembourg,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Luxembourg,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Luxembourg,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Luxembourg,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Luxembourg,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Luxembourg,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Luxembourg,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Luxembourg,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Luxembourg,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Luxembourg,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Luxembourg,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Luxembourg,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Luxembourg,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Luxembourg,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Luxembourg,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Luxembourg,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Luxembourg,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Luxembourg,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Luxembourg,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Luxembourg,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Luxembourg,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Luxembourg,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Luxembourg,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Luxembourg,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Luxembourg,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Luxembourg,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Luxembourg,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Luxembourg,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Luxembourg,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Luxembourg,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Luxembourg,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Luxembourg,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Luxembourg,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Luxembourg,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Luxembourg,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Luxembourg,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Luxembourg,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Luxembourg,,,,,0,0,1,0,0,1,2020-02-29T00:00:00Z
39,Luxembourg,,,,,0,0,1,0,0,1,2020-03-01T00:00:00Z
40,Luxembourg,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
41,Luxembourg,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Luxembourg,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Luxembourg,,,,,0,0,1,0,0,1,2020-03-05T00:00:00Z
44,Luxembourg,,,,,0,0,2,0,0,2,2020-03-06T00:00:00Z
45,Luxembourg,,,,,0,0,2,0,0,2,2020-03-07T00:00:00Z
46,Luxembourg,,,,,0,0,3,0,0,3,2020-03-08T00:00:00Z
47,Luxembourg,,,,,0,0,3,0,0,3,2020-03-09T00:00:00Z
48,Luxembourg,,,,,0,0,5,0,0,5,2020-03-10T00:00:00Z
49,Luxembourg,,,,,0,0,7,0,0,7,2020-03-11T00:00:00Z
50,Luxembourg,,,,,0,0,19,0,0,19,2020-03-12T00:00:00Z
51,Luxembourg,,,,,0,0,34,0,0,34,2020-03-13T00:00:00Z
52,Luxembourg,,,,,0,0,51,1,0,50,2020-03-14T00:00:00Z
53,Luxembourg,,,,,0,0,59,1,0,58,2020-03-15T00:00:00Z
54,Luxembourg,,,,,0,0,77,1,0,76,2020-03-16T00:00:00Z
55,Luxembourg,,,,,0,0,140,1,0,139,2020-03-17T00:00:00Z
56,Luxembourg,,,,,0,0,203,2,0,201,2020-03-18T00:00:00Z
57,Luxembourg,,,,,0,0,335,4,0,331,2020-03-19T00:00:00Z
58,Luxembourg,,,,,0,0,484,4,0,480,2020-03-20T00:00:00Z
59,Luxembourg,,,,,0,0,670,8,0,662,2020-03-21T00:00:00Z
60,Luxembourg,,,,,0,0,798,8,6,784,2020-03-22T00:00:00Z
61,Luxembourg,,,,,0,0,875,8,6,861,2020-03-23T00:00:00Z
62,Luxembourg,,,,,0,0,1099,8,6,1085,2020-03-24T00:00:00Z
63,Luxembourg,,,,,0,0,1333,8,6,1319,2020-03-25T00:00:00Z
64,Luxembourg,,,,,0,0,1453,9,6,1438,2020-03-26T00:00:00Z
65,Luxembourg,,,,,0,0,1605,15,40,1550,2020-03-27T00:00:00Z
66,Luxembourg,,,,,0,0,1831,18,40,1773,2020-03-28T00:00:00Z
67,Luxembourg,,,,,0,0,1950,21,40,1889,2020-03-29T00:00:00Z
68,Luxembourg,,,,,0,0,1988,22,40,1926,2020-03-30T00:00:00Z
69,Luxembourg,,,,,0,0,2178,23,80,2075,2020-03-31T00:00:00Z
70,Luxembourg,,,,,0,0,2319,29,80,2210,2020-04-01T00:00:00Z
71,Luxembourg,,,,,0,0,2487,30,80,2377,2020-04-02T00:00:00Z
72,Luxembourg,,,,,0,0,2612,31,500,2081,2020-04-03T00:00:00Z
73,Luxembourg,,,,,0,0,2729,31,500,2198,2020-04-04T00:00:00Z
74,Luxembourg,,,,,0,0,2804,36,500,2268,2020-04-05T00:00:00Z
75,Luxembourg,,,,,0,0,2843,41,500,2302,2020-04-06T00:00:00Z
76,Luxembourg,,,,,0,0,2970,44,500,2426,2020-04-07T00:00:00Z
77,Luxembourg,,,,,0,0,3034,46,500,2488,2020-04-08T00:00:00Z
78,Luxembourg,,,,,0,0,3115,52,500,2563,2020-04-09T00:00:00Z
79,Luxembourg,,,,,0,0,3223,54,500,2669,2020-04-10T00:00:00Z
80,Luxembourg,,,,,0,0,3270,62,500,2708,2020-04-11T00:00:00Z
81,Luxembourg,,,,,0,0,3281,66,500,2715,2020-04-12T00:00:00Z
82,Luxembourg,,,,,0,0,3292,69,500,2723,2020-04-13T00:00:00Z
83,Luxembourg,,,,,0,0,3307,67,500,2740,2020-04-14T00:00:00Z
84,Luxembourg,,,,,0,0,3373,69,526,2778,2020-04-15T00:00:00Z
85,Luxembourg,,,,,0,0,3444,69,552,2823,2020-04-16T00:00:00Z
86,Luxembourg,,,,,0,0,3480,72,579,2829,2020-04-17T00:00:00Z
87,Luxembourg,,,,,0,0,3537,72,601,2864,2020-04-18T00:00:00Z
88,Luxembourg,,,,,0,0,3550,73,627,2850,2020-04-19T00:00:00Z
89,Luxembourg,,,,,0,0,3558,75,637,2846,2020-04-20T00:00:00Z
90,Luxembourg,,,,,0,0,3618,78,670,2870,2020-04-21T00:00:00Z
91,Luxembourg,,,,,0,0,3654,80,711,2863,2020-04-22T00:00:00Z
92,Luxembourg,,,,,0,0,3665,83,728,2854,2020-04-23T00:00:00Z
93,Luxembourg,,,,,0,0,3695,85,3007,603,2020-04-24T00:00:00Z
