,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
13,Germany,,,,,0,0,12,0,0,12,2020-02-04T00:00:00Z
14,Germany,,,,,0,0,12,0,0,12,2020-02-05T00:00:00Z
15,Germany,,,,,0,0,12,0,0,12,2020-02-06T00:00:00Z
16,Germany,,,,,0,0,13,0,0,13,2020-02-07T00:00:00Z
17,Germany,,,,,0,0,13,0,0,13,2020-02-08T00:00:00Z
18,Germany,,,,,0,0,14,0,0,14,2020-02-09T00:00:00Z
19,Germany,,,,,0,0,14,0,0,14,2020-02-10T00:00:00Z
20,Germany,,,,,0,0,16,0,0,16,2020-02-11T00:00:00Z
21,Germany,,,,,0,0,16,0,0,16,2020-02-12T00:00:00Z
22,Germany,,,,,0,0,16,0,1,15,2020-02-13T00:00:00Z
23,Germany,,,,,0,0,16,0,1,15,2020-02-14T00:00:00Z
24,Germany,,,,,0,0,16,0,1,15,2020-02-15T00:00:00Z
25,Germany,,,,,0,0,16,0,1,15,2020-02-16T00:00:00Z
26,Germany,,,,,0,0,16,0,1,15,2020-02-17T00:00:00Z
27,Germany,,,,,0,0,16,0,12,4,2020-02-18T00:00:00Z
28,Germany,,,,,0,0,16,0,12,4,2020-02-19T00:00:00Z
29,Germany,,,,,0,0,16,0,12,4,2020-02-20T00:00:00Z
30,Germany,,,,,0,0,16,0,14,2,2020-02-21T00:00:00Z
31,Germany,,,,,0,0,16,0,14,2,2020-02-22T00:00:00Z
32,Germany,,,,,0,0,16,0,14,2,2020-02-23T00:00:00Z
33,Germany,,,,,0,0,16,0,14,2,2020-02-24T00:00:00Z
34,Germany,,,,,0,0,17,0,14,3,2020-02-25T00:00:00Z
35,Germany,,,,,0,0,27,0,15,12,2020-02-26T00:00:00Z
36,Germany,,,,,0,0,46,0,16,30,2020-02-27T00:00:00Z
37,Germany,,,,,0,0,48,0,16,32,2020-02-28T00:00:00Z
38,Germany,,,,,0,0,79,0,16,63,2020-02-29T00:00:00Z
39,Germany,,,,,0,0,130,0,16,114,2020-03-01T00:00:00Z
40,Germany,,,,,0,0,159,0,16,143,2020-03-02T00:00:00Z
41,Germany,,,,,0,0,196,0,16,180,2020-03-03T00:00:00Z
42,Germany,,,,,0,0,262,0,16,246,2020-03-04T00:00:00Z
43,Germany,,,,,0,0,482,0,16,466,2020-03-05T00:00:00Z
44,Germany,,,,,0,0,670,0,17,653,2020-03-06T00:00:00Z
45,Germany,,,,,0,0,799,0,18,781,2020-03-07T00:00:00Z
46,Germany,,,,,0,0,1040,0,18,1022,2020-03-08T00:00:00Z
47,Germany,,,,,0,0,1176,2,18,1156,2020-03-09T00:00:00Z
48,Germany,,,,,0,0,1457,2,18,1437,2020-03-10T00:00:00Z
49,Germany,,,,,0,0,1908,3,25,1880,2020-03-11T00:00:00Z
50,Germany,,,,,0,0,2078,3,25,2050,2020-03-12T00:00:00Z
51,Germany,,,,,0,0,3675,7,46,3622,2020-03-13T00:00:00Z
52,Germany,,,,,0,0,4585,9,46,4530,2020-03-14T00:00:00Z
53,Germany,,,,,0,0,5795,11,46,5738,2020-03-15T00:00:00Z
54,Germany,,,,,0,0,7272,17,67,7188,2020-03-16T00:00:00Z
55,Germany,,,,,0,0,9257,24,67,9166,2020-03-17T00:00:00Z
56,Germany,,,,,0,0,12327,28,105,12194,2020-03-18T00:00:00Z
57,Germany,,,,,0,0,15320,44,113,15163,2020-03-19T00:00:00Z
58,Germany,,,,,0,0,19848,67,180,19601,2020-03-20T00:00:00Z
59,Germany,,,,,0,0,22213,84,233,21896,2020-03-21T00:00:00Z
60,Germany,,,,,0,0,24873,94,266,24513,2020-03-22T00:00:00Z
61,Germany,,,,,0,0,29056,123,266,28667,2020-03-23T00:00:00Z
62,Germany,,,,,0,0,32986,157,3243,29586,2020-03-24T00:00:00Z
63,Germany,,,,,0,0,37323,206,3547,33570,2020-03-25T00:00:00Z
64,Germany,,,,,0,0,43938,267,5673,37998,2020-03-26T00:00:00Z
65,Germany,,,,,0,0,50871,342,6658,43871,2020-03-27T00:00:00Z
66,Germany,,,,,0,0,57695,433,8481,48781,2020-03-28T00:00:00Z
67,Germany,,,,,0,0,62095,533,9211,52351,2020-03-29T00:00:00Z
68,Germany,,,,,0,0,66885,645,13500,52740,2020-03-30T00:00:00Z
69,Germany,,,,,0,0,71808,775,16100,54933,2020-03-31T00:00:00Z
70,Germany,,,,,0,0,77872,920,18700,58252,2020-04-01T00:00:00Z
71,Germany,,,,,0,0,84794,1107,22440,61247,2020-04-02T00:00:00Z
72,Germany,,,,,0,0,91159,1275,24575,65309,2020-04-03T00:00:00Z
73,Germany,,,,,0,0,96092,1444,26400,68248,2020-04-04T00:00:00Z
74,Germany,,,,,0,0,100123,1584,28700,69839,2020-04-05T00:00:00Z
75,Germany,,,,,0,0,103374,1810,28700,72864,2020-04-06T00:00:00Z
76,Germany,,,,,0,0,107663,2016,36081,69566,2020-04-07T00:00:00Z
77,Germany,,,,,0,0,113296,2349,46300,64647,2020-04-08T00:00:00Z
78,Germany,,,,,0,0,118181,2607,52407,63167,2020-04-09T00:00:00Z
79,Germany,,,,,0,0,122171,2767,53913,65491,2020-04-10T00:00:00Z
80,Germany,,,,,0,0,124908,2736,57400,64772,2020-04-11T00:00:00Z
81,Germany,,,,,0,0,127854,3022,60300,64532,2020-04-12T00:00:00Z
82,Germany,,,,,0,0,130072,3194,64300,62578,2020-04-13T00:00:00Z
83,Germany,,,,,0,0,131359,3294,68200,59865,2020-04-14T00:00:00Z
84,Germany,,,,,0,0,134753,3804,72600,58349,2020-04-15T00:00:00Z
85,Germany,,,,,0,0,137698,4052,77000,56646,2020-04-16T00:00:00Z
86,Germany,,,,,0,0,141397,4352,83114,53931,2020-04-17T00:00:00Z
87,Germany,,,,,0,0,143342,4459,85400,53483,2020-04-18T00:00:00Z
88,Germany,,,,,0,0,145184,4586,88000,52598,2020-04-19T00:00:00Z
89,Germany,,,,,0,0,147065,4862,91500,50703,2020-04-20T00:00:00Z
90,Germany,,,,,0,0,148291,5033,95200,48058,2020-04-21T00:00:00Z
91,Germany,,,,,0,0,150648,5279,99400,45969,2020-04-22T00:00:00Z
92,Germany,,,,,0,0,153129,5575,103300,44254,2020-04-23T00:00:00Z
